dim_matriz,norma2 Cholesky,determinante Cholesky,tempo comp. Cholesky,norma2 sem Pivo,determinante sem Pivo,tempo comp. sem Pivo,norma2 solucao Numpy,determinante solucao Numpy,tempo comp. sol. Numpy
2,2.5800768773013417e-10,3.9999999997853015,0.00010323524475097656,24748.682068511298,3.9999999997853024,4.8160552978515625e-05,24748.682068511298,3.9999999997852997,8.726119995117188e-05
3,1.048852317647241e-14,10770703523.999928,0.00013375282287597656,1.675202802264621,10770703524.000036,6.890296936035156e-05,1.675202802264621,10770703523.99999,7.033348083496094e-05
4,5.201308966597281e-14,690188762176.0168,0.0001971721649169922,4.1219321124418995,690188762175.9929,0.0001068115234375,4.121932112441867,690188762176.0017,6.365776062011719e-05
5,6.855936773964195e-13,8070357589262657.0,0.00031876564025878906,14.617535869618262,8070357589257901.0,0.0001838207244873047,14.617535869621342,8070357589256161.0,7.295608520507812e-05
6,1.921423700393626e-13,6.5694216495984574e+19,0.0004208087921142578,2.4347066716219508,6.569421649598122e+19,0.0002009868621826172,2.4347066716219508,6.569421649598549e+19,8.225440979003906e-05
7,1.1267533089989423e-14,3.2658708982216027e+25,0.00048351287841796875,2.642175525606974,3.2658708982216095e+25,0.0002856254577636719,2.6421755256069743,3.265870898221623e+25,7.343292236328125e-05
8,3.421270737571946e-14,1.9707660722913353e+29,0.0003349781036376953,2.8541227026794487,1.97076607229133e+29,0.00024175643920898438,2.8541227026794496,1.9707660722913448e+29,8.845329284667969e-05
9,4.929390354360808e-13,8.568266385550142e+31,0.0007052421569824219,12.313731991278406,8.568266385548755e+31,0.00031566619873046875,12.313731991276143,8.568266385550597e+31,0.0002009868621826172
10,2.910164604407527e-11,2.8961068379597627e+34,0.00048732757568359375,139.39868542135721,2.8961068379583285e+34,0.0002925395965576172,139.39868542179016,2.8961068379493795e+34,4.220008850097656e-05
11,1.2480778384791798e-11,9.77071806704988e+38,0.0006647109985351562,6.452439254047114,9.770718067051635e+38,0.0003647804260253906,6.452439254044088,9.77071806705793e+38,6.198883056640625e-05
12,3.25524027440004e-11,4.479102930568581e+42,0.0006854534149169922,290.60509357227033,4.479102930595834e+42,0.00041103363037109375,290.60509357157935,4.4791029306064284e+42,5.173683166503906e-05
13,1.0734425897814357e-11,1.217250312738764e+47,0.0008521080017089844,75.99279082029861,1.2172503127368484e+47,0.0004665851593017578,75.99279082033762,1.2172503127362277e+47,5.555152893066406e-05
14,5.939392376319444e-13,4.823192348598329e+51,0.0009911060333251953,10.325837387206708,4.823192348599018e+51,0.0005223751068115234,10.325837387208573,4.823192348598015e+51,5.4836273193359375e-05
15,1.2521438042237028e-11,5.209072616351294e+55,0.0011324882507324219,5.350583967997655,5.209072616357819e+55,0.0005786418914794922,5.350583967995011,5.209072616364642e+55,5.364418029785156e-05
16,3.1206515813547756e-12,4.694720781625553e+61,0.0012941360473632812,8.468094713660383,4.694720781628298e+61,0.0006439685821533203,8.4680947136597,4.6947207816289245e+61,5.3882598876953125e-05
17,1.9430473328909637e-09,4.0448557024145705e+62,0.0015113353729248047,3945.2296502899235,4.0448557046820003e+62,0.0007326602935791016,3945.2296518180756,4.0448557031151427e+62,5.793571472167969e-05
18,1.1612200449391796e-13,4.313160467467481e+71,0.004555940628051758,4.538268457118696,4.313160467467916e+71,0.0022270679473876953,4.538268457118715,4.3131604674677137e+71,0.00012755393981933594
19,1.2041799705761726e-11,2.436125293312605e+71,0.005113363265991211,299.9461982517383,2.4361252932951874e+71,0.0024323463439941406,299.9461982512624,2.436125293298901e+71,0.0001347064971923828
20,8.881312555492807e-12,4.3681323847749665e+76,0.00586247444152832,5.655050064645521,4.3681323847799943e+76,0.002313375473022461,5.655050064645814,4.368132384779471e+76,0.0012869834899902344
21,3.3399937368275343e-13,4.7463925829538736e+82,0.006628274917602539,5.283698503859598,4.7463925829554845e+82,0.0030088424682617188,5.283698503859651,4.7463925829548166e+82,0.0001347064971923828
22,2.7140083721972757e-12,1.971785661008892e+88,0.0073871612548828125,5.021346584196411,1.971785661009513e+88,0.0033295154571533203,5.021346584196266,1.9717856610100327e+88,0.0001499652862548828
23,1.3113786685655053e-12,5.185529757730005e+90,0.008275270462036133,5.557361152906086,5.185529757728403e+90,0.0036344528198242188,5.5573611529059095,5.185529757728447e+90,0.00014019012451171875
24,4.701022532879761e-13,2.4406410946420227e+95,0.009189605712890625,6.3056107598491575,2.4406410946410736e+95,0.003926992416381836,6.305610759849041,2.4406410946412067e+95,0.0001430511474609375
25,1.3906533808801652e-10,8.591045066104958e+96,0.010187625885009766,1483.350191645108,8.59104506597681e+96,0.004239082336425781,1483.3501915385884,8.591045066594818e+96,0.0001652240753173828
26,4.9336954520140936e-12,2.1574198317144333e+104,0.011296510696411133,11.92789566910397,2.1574198317147866e+104,0.004584074020385742,11.927895669103782,2.1574198317148572e+104,0.00016021728515625
27,4.571102013099857e-12,5.298005051957216e+106,0.012534856796264648,5.640948549927693,5.298005051955687e+106,0.004958629608154297,5.640948549927361,5.298005051956635e+106,0.000164031982421875
28,5.42183185681514e-13,2.556802640845608e+114,0.013578176498413086,5.375837137098717,2.5568026408457224e+114,0.005365610122680664,5.3758371370987135,2.55680264084572e+114,0.00017452239990234375
29,1.6512594912929377e-10,2.97138938856787e+114,0.014972448348999023,686.0261635851873,2.9713893885140674e+114,0.005707502365112305,686.0261635972286,2.971389388462024e+114,0.0001842975616455078
