,index,coef_ajuste,num_interacoes,tempos,erros,tolerancia
0,0,0.5,5.0,0.0024938583374023438,0.022225224153869974,-1.0
1,1,0.6,5.0,0.0022897720336914062,0.005146074014160756,-1.0
2,2,0.7,4.0,0.001936197280883789,0.0041654379888454275,-1.0
3,3,0.7999999999999999,4.0,0.0018262863159179688,0.0012252884722896552,-1.0
4,4,0.8999999999999999,4.0,0.0020046234130859375,0.00047069495407107173,-1.0
5,5,0.9999999999999999,4.0,0.0034368038177490234,6.879737699805525e-05,-1.0
6,6,1.0999999999999999,5.0,0.002592802047729492,1.560999557617519e-05,-1.0
7,7,1.2,6.0,0.002565145492553711,4.149293919616171e-05,-1.0
8,8,1.3,7.0,0.0029571056365966797,9.468401496510479e-05,-1.0
9,9,1.4000000000000001,8.0,0.005085468292236328,0.00020858744379596212,-1.0
10,10,1.5000000000000002,9.0,0.005388021469116211,0.0008419012461915133,-1.0
11,11,1.6000000000000003,12.0,0.006262540817260742,0.0009705451880148638,-1.0
12,12,1.7000000000000004,14.0,0.006499290466308594,0.0030796446150008357,-1.0
13,13,1.8000000000000005,18.0,0.008012056350708008,0.02008669864775396,-1.0
14,14,1.9000000000000006,43.0,0.01787114143371582,0.006078505807080941,-1.0
15,15,2.0000000000000004,300.0,0.10766863822937012,40.99927377469543,-1.0
16,0,0.5,9.0,0.0032978057861328125,0.0008569422355727784,-2.0
17,1,0.6,8.0,0.003086090087890625,0.0004220900663268141,-2.0
18,2,0.7,7.0,0.0025603771209716797,0.00023361284780314283,-2.0
19,3,0.7999999999999999,5.0,0.001795053482055664,0.0004512660219131471,-2.0
20,4,0.8999999999999999,5.0,0.002619504928588867,0.0001016673495773777,-2.0
21,5,0.9999999999999999,5.0,0.0018191337585449219,6.7311197362387585e-06,-2.0
22,6,1.0999999999999999,6.0,0.0021696090698242188,1.299975152886868e-07,-2.0
23,7,1.2,7.0,0.0025069713592529297,1.4119780085600843e-06,-2.0
24,8,1.3,8.0,0.0028841495513916016,6.32179225875815e-06,-2.0
25,9,1.4000000000000001,10.0,0.0035932064056396484,9.548668663624029e-06,-2.0
26,10,1.5000000000000002,13.0,0.004656791687011719,2.059506922634558e-06,-2.0
27,11,1.6000000000000003,15.0,0.005368471145629883,3.2305367167712246e-05,-2.0
28,12,1.7000000000000004,20.0,0.00719141960144043,3.499048412855202e-05,-2.0
29,13,1.8000000000000005,30.0,0.010746955871582031,7.389674669874433e-05,-2.0
30,14,1.9000000000000006,60.0,0.02169060707092285,0.00015916549355507746,-2.0
31,15,2.0000000000000004,300.0,0.11285400390625,40.99927377469543,-2.0
32,0,0.5,17.0,0.006262540817260742,8.081009497600075e-06,-3.0
33,1,0.6,14.0,0.005117893218994141,4.632189754225765e-06,-3.0
34,2,0.7,12.0,0.004504680633544922,1.873898057880034e-06,-3.0
35,3,0.7999999999999999,10.0,0.0036077499389648438,9.90735588773631e-07,-3.0
36,4,0.8999999999999999,8.0,0.0028924942016601562,7.124566661710897e-07,-3.0
37,5,0.9999999999999999,7.0,0.002556324005126953,6.742087132429318e-08,-3.0
38,6,1.0999999999999999,7.0,0.0025365352630615234,3.901677041804857e-10,-3.0
39,7,1.2,9.0,0.0032668113708496094,2.207589886284793e-09,-3.0
40,8,1.3,10.0,0.0036153793334960938,9.058580523223924e-08,-3.0
41,9,1.4000000000000001,13.0,0.00472569465637207,1.1541101078890943e-08,-3.0
42,10,1.5000000000000002,15.0,0.005342721939086914,2.173910992601986e-07,-3.0
43,11,1.6000000000000003,20.0,0.007232189178466797,1.2635034868621893e-07,-3.0
44,12,1.7000000000000004,26.0,0.009899139404296875,4.286507517566154e-07,-3.0
45,13,1.8000000000000005,42.0,0.01560068130493164,3.9050575209385545e-07,-3.0
46,14,1.9000000000000006,81.0,0.028849363327026367,2.586438202540025e-06,-3.0
47,15,2.0000000000000004,300.0,0.10728621482849121,40.99927377469543,-3.0
48,0,0.5,25.0,0.009176969528198242,7.72113259082748e-08,-4.0
49,1,0.6,20.0,0.007161855697631836,4.853417414145295e-08,-4.0
50,2,0.7,17.0,0.006226778030395508,1.397998215625239e-08,-4.0
51,3,0.7999999999999999,14.0,0.005084991455078125,6.2931817373834704e-09,-4.0
52,4,0.8999999999999999,11.0,0.00400233268737793,4.756496428050653e-09,-4.0
53,5,0.9999999999999999,9.0,0.003287792205810547,5.800547348608988e-10,-4.0
54,6,1.0999999999999999,8.0,0.002935171127319336,6.001905358570801e-12,-4.0
55,7,1.2,10.0,0.0037224292755126953,3.810745333495214e-11,-4.0
56,8,1.3,12.0,0.004347085952758789,1.411243519127239e-10,-4.0
57,9,1.4000000000000001,14.0,0.005360126495361328,2.3900755443134665e-09,-4.0
