,index,coef_ajuste,num_interacoes,tempos,erros,tolerancia
0,0,0.5,4.0,0.08558201789855957,1153.3941088134627,-1.0
1,1,0.6,4.0,0.06476855278015137,1262.5067921738191,-1.0
2,2,0.7,4.0,0.06569600105285645,1409.1299485352238,-1.0
3,3,0.7999999999999999,4.0,0.06991267204284668,1603.9203269508819,-1.0
4,4,0.8999999999999999,5.0,0.08086323738098145,1861.5408264924156,-1.0
5,5,0.9999999999999999,5.0,0.08123970031738281,2219.30838878904,-1.0
6,6,1.0999999999999999,5.0,0.08077096939086914,2702.139057788067,-1.0
7,7,1.2,5.0,0.08050155639648438,3370.102809173195,-1.0
8,8,1.3,5.0,0.0788874626159668,4327.836198602655,-1.0
9,9,1.4000000000000001,6.0,0.09652900695800781,5488.482105676409,-1.0
10,10,1.5000000000000002,7.0,0.11345839500427246,7134.607287722999,-1.0
11,11,1.6000000000000003,9.0,0.16625761985778809,8835.73334514229,-1.0
12,12,1.7000000000000004,11.0,0.20820307731628418,10596.366209800224,-1.0
13,13,1.8000000000000005,21.0,0.3545985221862793,2959.9349183552135,-1.0
14,14,1.9000000000000006,44.0,0.7048819065093994,15.382520453318822,-1.0
15,15,2.0000000000000004,300.0,4.757169961929321,269466.59039041895,-1.0
16,0,0.5,17.0,0.2897348403930664,993.6819262308333,-2.0
17,1,0.6,14.0,0.23214983940124512,1118.5046822695042,-2.0
18,2,0.7,12.0,0.19510817527770996,1273.5583961109278,-2.0
19,3,0.7999999999999999,10.0,0.16440153121948242,1481.2459079527755,-2.0
20,4,0.8999999999999999,9.0,0.14900588989257812,1736.801517822359,-2.0
21,5,0.9999999999999999,8.0,0.13297748565673828,2082.075414375495,-2.0
22,6,1.0999999999999999,8.0,0.13332152366638184,2500.436485558072,-2.0
23,7,1.2,16.0,0.2706925868988037,2425.1056999458174,-2.0
24,8,1.3,61.0,1.0219645500183105,684.9279369594944,-2.0
25,9,1.4000000000000001,90.0,1.5463709831237793,197.02288181161308,-2.0
26,10,1.5000000000000002,108.0,2.0713438987731934,47.498367042666885,-2.0
27,11,1.6000000000000003,110.0,2.1292271614074707,12.857562490951748,-2.0
28,12,1.7000000000000004,101.0,1.7425379753112793,3.5550013235984506,-2.0
29,13,1.8000000000000005,82.0,1.5792386531829834,0.9842871841403894,-2.0
30,14,1.9000000000000006,74.0,1.533069133758545,0.3247041757845663,-2.0
31,15,2.0000000000000004,300.0,5.763579607009888,269466.59039041895,-2.0
32,0,0.5,300.0,5.602504730224609,185.82336453968824,-3.0
33,1,0.6,300.0,5.882836103439331,132.74659897145986,-3.0
34,2,0.7,300.0,5.8025782108306885,90.01951863362746,-3.0
35,3,0.7999999999999999,300.0,5.8505871295928955,57.04301463018315,-3.0
36,4,0.8999999999999999,300.0,6.041502952575684,33.11409979025086,-3.0
