,num_interacoes,erros,coeficiente_min,tolerancia
0,4.0,1153.3941088134627,0.5,-1
1,8.0,2082.075414375495,0.9999999999999999,-2
2,129.0,0.0025696142656314314,1.9000000000000006,-3
3,180.0,2.5365631278840273e-05,1.9000000000000006,-4
4,231.0,2.399293729783639e-07,1.9000000000000006,-5
5,287.0,2.8591138848589627e-09,1.9000000000000006,-6
6,300.0,1.3191459570475005e-09,1.9000000000000006,-7
7,300.0,1.3191459570475005e-09,1.9000000000000006,-8
8,300.0,1.3191459570475005e-09,1.9000000000000006,-9
9,300.0,1.3191459570475005e-09,1.9000000000000006,-10
