,num_interacoes,tempos,erros,tolerancia
0,27,0.04340672492980957,326.76779126843917,-1
1,37,0.009755611419677734,308.8821297720606,-2
2,55,0.032384395599365234,270.00506868853984,-3
3,129,0.03595709800720215,124.47127943693076,-4
4,268,0.06613540649414062,24.11947397419914,-5
5,434,0.1420433521270752,3.08932848337858,-6
6,599,0.14480280876159668,0.29398214554734997,-7
7,755,0.19169235229492188,0.09266757483777824,-8
8,991,0.3646268844604492,0.00885225213092964,-9
9,1238,0.5255374908447266,0.001035018093831075,-10
